TRANSACTION_ID,AMOUNT,TRANSACTION_DATE,REMARKS,TO_ACC,FROM_ACC
79,4562,2023-12-28,Cake - Night And Day Choclate,399,366
80,6025,2023-07-19,"Glass - Wine, Plastic, Clear 5 Oz",732,230
81,7851,2023-07-02,Wine - Stoneliegh Sauvignon,378,753
82,1322,2023-09-22,Butcher Twine 4r,286,483
83,4887,2024-02-01,Shrimp - Tiger 21/25,923,971
84,5986,2024-06-17,"Pork - Back, Short Cut, Boneless",694,469
85,3890,2024-04-11,Mahi Mahi,71,664
86,6343,2023-06-28,Pastry - Cheese Baked Scones,830,394
87,9794,2023-11-12,Dish Towel,308,782
88,2510,2024-06-01,Venison - Liver,857,228
89,6949,2024-06-08,"Nut - Almond, Blanched, Sliced",95,848
90,3112,2023-10-24,Pastry - Baked Scones - Mini,389,679
91,9806,2023-08-23,Pasta - Ravioli,630,212
92,2258,2023-09-06,Oven Mitts 17 Inch,806,490
93,1052,2024-05-18,Truffle Shells - Semi - Sweet,819,773
94,8955,2024-03-16,Wine - Baron De Rothschild,782,529
95,2717,2023-08-30,Island Oasis - Banana Daiquiri,650,760
96,9936,2023-08-08,Bread - Calabrese Baguette,128,759
97,6014,2023-10-02,Sauce - Cranberry,966,995
98,7087,2023-09-09,Onions - Pearl,804,496
99,4457,2023-06-25,Chicken Thigh - Bone Out,203,116
100,7660,2024-01-04,Muffin - Mix - Strawberry Rhubarb,977,259
101,7392,2024-05-23,Cinnamon - Stick,189,131
102,9315,2023-11-13,Horseradish Root,610,814
103,5644,2024-01-31,Table Cloth 91x91 Colour,705,948
104,3468,2023-07-25,"Appetizer - Spring Roll, Veg",551,934
105,9740,2023-10-18,Beer - Rickards Red,31,721
106,4514,2024-01-16,Wine - Sake,62,509
107,4068,2023-12-27,"Veal - Brisket, Provimi,bnls",144,847
108,7549,2023-11-20,Catfish - Fillets,959,710
109,7680,2024-04-24,"Radish - Black, Winter, Organic",526,64
110,4272,2023-11-16,Wine - Rosso Toscano Igt,501,58
111,1117,2023-09-07,Wine - Two Oceans Cabernet,710,596
112,3399,2024-06-02,Chip - Potato Dill Pickle,653,299
113,4109,2023-07-28,Milk - Skim,197,334
114,7063,2023-09-19,Squid U5 - Thailand,141,29
115,8485,2024-03-03,Blueberries,775,901
116,6232,2024-01-08,Foil Wrap,797,104
117,2099,2024-04-19,Bacardi Breezer - Tropical,883,432
118,6536,2024-04-01,Rabbit - Legs,1000,950
119,8511,2023-10-28,Coffee Swiss Choc Almond,50,833
120,5192,2024-04-03,Flour - Semolina,791,291
121,6104,2024-02-26,Pork - Smoked Back Bacon,810,170
122,5218,2024-02-07,Lamb - Whole Head Off,760,346
123,4520,2024-03-01,"Oil - Food, Lacquer Spray",920,404
124,5287,2024-05-23,Island Oasis - Mango Daiquiri,970,682
125,9970,2023-07-02,Foam Cup 6 Oz,147,179
126,1893,2024-02-20,Wine - Redchard Merritt,674,960
127,1950,2023-10-15,Jerusalem Artichoke,911,222
128,7363,2023-09-02,Waffle Stix,667,603
129,4021,2023-07-17,"7up Diet, 355 Ml",425,332
130,4954,2023-06-26,Pernod,202,148
131,2586,2024-06-17,Foam Dinner Plate,728,727
132,3757,2023-07-23,Pancetta,558,125
133,7036,2023-08-29,Sea Bass - Whole,845,586
134,9280,2024-03-21,Cilantro / Coriander - Fresh,701,340
135,3343,2024-05-12,"Chicken - Leg, Fresh",650,574
136,9637,2024-01-16,Wine - Puligny Montrachet A.,552,811
137,2733,2023-10-22,Foil Wrap,584,318
138,2388,2023-09-03,Durian Fruit,674,964
139,7970,2024-05-03,Kippers - Smoked,771,24
140,1299,2023-09-16,Wine - Chablis 2003 Champs,138,234
141,3343,2023-06-26,Filling - Mince Meat,876,113
142,7133,2024-06-19,Eggplant Italian,230,908
143,4303,2024-05-19,Magnotta Bel Paese Red,848,631
144,7510,2024-05-08,Lobster - Tail 6 Oz,309,825
145,4004,2024-05-26,"Shrimp - Baby, Cold Water",920,260
146,3142,2023-12-28,Tea - Herbal I Love Lemon,499,826
147,4486,2023-09-08,Chicken - Ground,858,792
148,6054,2023-07-12,"Butter - Salted, Micro",850,777
149,8802,2023-08-14,Foam Cup 6 Oz,459,659
150,9857,2024-04-05,"Coffee - Beans, Whole",768,628
151,4596,2024-04-12,"Wine - Cahors Ac 2000, Clos",987,50
152,3650,2024-06-16,Cake Sheet Combo Party Pack,378,309
153,5784,2024-05-27,"Garlic - Primerba, Paste",184,854
154,9424,2023-11-25,"Schnappes - Peach, Walkers",760,579
155,4454,2023-11-15,"Tomatoes - Cherry, Yellow",240,991
156,4504,2024-05-12,Gelatine Powder,6,348
157,7075,2023-10-26,Campari,789,778
158,8556,2023-11-10,Chips - Miss Vickies,736,323
159,1142,2024-03-26,Bread Base - Italian,326,917
160,5985,2024-05-21,Soup - Campbells Bean Medley,394,978
161,9816,2024-03-10,Wine - Saint Emilion Calvet,676,759
162,3192,2023-11-17,Soup - French Can Pea,657,675
163,1867,2023-11-18,Nantucket Pine Orangebanana,395,270
164,2785,2024-04-03,Onions - Spanish,54,814
165,4689,2023-07-15,"Chilli Paste, Hot Sambal Oelek",540,328
166,9974,2023-11-26,"Sparkling Wine - Rose, Freixenet",659,721
167,3528,2023-12-21,"Mushrooms - Black, Dried",895,8
168,4049,2024-01-03,Sprouts - Pea,76,719
169,5460,2024-06-10,Cakes Assorted,186,407
170,1307,2024-05-06,"Tart Shells - Sweet, 3",191,877
171,2060,2023-11-11,Tea - Green,69,574
172,9544,2024-06-19,Wine - Pinot Noir Mondavi Coastal,815,406
173,9205,2024-05-10,"Appetizer - Spring Roll, Veg",262,759
174,9811,2023-10-26,Bread - Corn Muffaletta,735,581
175,5968,2024-01-30,Milk Powder,276,204
176,3590,2024-04-22,Beer - Mill St Organic,607,764
177,1919,2024-01-04,Cookie Dough - Oatmeal Rasin,855,206
178,1207,2023-09-03,Tia Maria,688,474
179,2151,2024-02-29,Cookie Dough - Oatmeal Rasin,956,90
180,1694,2024-04-16,Lamb Rack Frenched Australian,311,535
181,8834,2024-04-15,"Wine - Red, Gallo, Merlot",725,101
182,4120,2024-03-30,"Cheese - Manchego, Spanish",797,760
183,5464,2024-03-05,"Sparkling Wine - Rose, Freixenet",397,789
184,9564,2024-03-24,Wine - Montecillo Rioja Crianza,845,584
185,1298,2023-08-15,"Juice - V8, Tomato",320,195
186,3945,2024-06-18,"Veal - Shank, Pieces",347,89
187,4253,2024-03-25,Sauce - Oyster,807,839
188,5302,2023-09-26,Mayonnaise - Individual Pkg,379,988
189,8514,2023-09-27,Wine - Cave Springs Dry Riesling,240,185
190,1643,2024-02-06,"Veal - Brisket, Provimi, Bone - In",606,288
191,8154,2024-01-05,Zucchini - Green,458,12
192,2947,2024-05-02,Miso - Soy Bean Paste,157,358
193,4549,2024-04-08,"Yogurt - Banana, 175 Gr",224,807
194,1366,2024-05-20,White Baguette,853,663
195,7300,2023-09-19,Watercress,317,170
196,3438,2023-09-27,Crackers - Water,814,252
197,4185,2023-12-31,Pastry - Baked Cinnamon Stick,322,237
198,4284,2023-07-05,Pork Loin Bine - In Frenched,641,728
199,3464,2023-10-05,Beer - True North Lager,892,219
200,5769,2023-09-13,"Stock - Veal, Brown",390,852
201,5697,2024-02-16,Pepper - Cubanelle,622,549
202,5233,2024-03-27,Wine - Lou Black Shiraz,771,665
203,1575,2023-12-21,"Carrots - Mini, Stem On",407,641
204,7850,2024-05-03,Bread - Raisin Walnut Pull,900,850
205,2410,2023-08-05,Swordfish Loin Portions,386,960
206,3833,2023-07-13,"Lid - Translucent, 3.5 And 6 Oz",51,135
207,5734,2023-07-14,Apple - Macintosh,284,856
208,9314,2023-12-28,Potatoes - Idaho 100 Count,705,772
209,3294,2023-09-17,Lettuce - Boston Bib,835,68
210,7663,2023-10-01,Brandy Apricot,600,605
211,5056,2024-02-19,Pimento - Canned,6,43
212,5507,2023-11-28,Aspic - Clear,877,393
213,8297,2024-03-26,Pork - European Side Bacon,16,163
214,3079,2024-02-22,Crab Brie In Phyllo,554,226
215,2269,2023-09-14,Cookie Double Choco,820,92
216,5124,2023-10-22,"Bread - Pumpernickle, Rounds",178,124
217,5775,2024-03-20,Nantucket - Pomegranate Pear,296,733
218,7845,2024-06-01,Capicola - Hot,213,871
219,7826,2024-04-17,Oil - Macadamia,151,503
220,6572,2023-10-25,Sugar - Brown,423,794
221,3359,2023-09-23,Fruit Salad Deluxe,95,418
222,1778,2024-04-15,Ice Cream - Strawberry,157,762
223,9496,2023-08-28,Lettuce - Boston Bib,447,157
224,4061,2023-08-09,Filter - Coffee,604,512
225,6942,2023-10-11,"Salmon - Atlantic, Skin On",532,116
226,4817,2023-12-27,Pasta - Angel Hair,525,332
227,2947,2023-08-27,Mackerel Whole Fresh,8,958
228,3603,2024-03-19,Pineapple - Golden,94,917
229,8344,2024-05-11,Wine - Rhine Riesling Wolf Blass,853,420
230,9330,2023-12-22,Soup - Campbells Mushroom,581,984
231,7868,2024-05-12,Irish Cream - Baileys,919,477
232,7266,2024-06-24,"Trout - Rainbow, Fresh",33,215
233,4438,2023-09-09,Pail For Lid 1537,230,840
234,9404,2024-04-19,Mushroom - White Button,537,214
235,9287,2023-07-10,"Chicken - Breast, 5 - 7 Oz",763,405
236,9666,2024-04-26,Plastic Arrow Stir Stick,718,892
237,8691,2024-01-03,Papayas,671,254
238,6214,2023-10-01,Ice Cream - Life Savers,102,906
239,2018,2024-02-13,Chicken - Whole,285,948
240,6204,2024-04-13,Tea - Camomele,943,204
241,5243,2023-07-22,"Mushroom - Porcini, Dry",890,402
242,3206,2024-01-29,Wine - White Cab Sauv.on,164,344
243,9786,2024-01-13,Pepper - Red Chili,75,729
244,8532,2024-05-29,Cookie Double Choco,546,590
245,6015,2024-04-12,Juice - Cranberry 284ml,874,873
246,7705,2024-02-21,Bar Special K,343,164
247,4188,2024-03-04,Energy Drink - Franks Pineapple,336,11
248,3198,2023-07-02,Mushroom Morel Fresh,927,303
249,8075,2023-08-12,Hummus - Spread,822,671
250,2775,2023-08-20,Pork - European Side Bacon,247,712
251,8828,2023-09-03,Squash - Guords,622,203
252,7187,2023-12-03,Cumin - Ground,355,414
253,7920,2023-12-15,"Nut - Almond, Blanched, Ground",283,946
254,1395,2023-09-11,Appetizer - Assorted Box,406,456
255,6741,2023-09-18,Bread - Burger,139,155
256,8258,2023-10-19,Apricots Fresh,874,729
257,6875,2024-05-08,"Turkey - Breast, Smoked",561,923
258,8617,2023-11-17,Island Oasis - Cappucino Mix,783,813
259,3770,2023-07-22,Kellogs All Bran Bars,917,103
260,1907,2024-05-17,"Fish - Halibut, Cold Smoked",223,707
261,1300,2023-12-15,Shrimp - 31/40,417,188
262,5902,2024-04-03,Cheese - Grana Padano,504,737
263,2366,2024-05-11,Wine - Guy Sage Touraine,914,562
264,1682,2024-03-07,Curry Powder Madras,284,164
265,3848,2024-01-18,Plasticforkblack,260,744
266,9879,2024-05-27,Tea Peppermint,276,955
267,4098,2023-07-31,Apple - Custard,157,118
268,6668,2024-04-10,Beef - Prime Rib Aaa,157,576
269,6051,2023-10-01,Plasticforkblack,706,578
270,4028,2024-02-03,Cleaner - Bleach,41,770
271,3634,2024-04-15,Cheese - Oka,444,213
272,8450,2024-04-08,Beer - True North Strong Ale,364,474
273,7001,2023-10-21,Smirnoff Green Apple Twist,927,176
274,9864,2024-04-22,Turkey Leg With Drum And Thigh,450,601
275,4747,2024-05-13,Carrots - Jumbo,232,954
276,3691,2023-09-06,Towel Multifold,442,539
277,3691,2023-12-07,"Cheese - Cheddar, Mild",138,963
278,4173,2023-10-10,Wine - Chardonnay Mondavi,532,578
279,1369,2024-03-01,Tobasco Sauce,783,542
280,8514,2024-01-10,Cheese - Mozzarella,569,713
281,8340,2024-03-17,"Sauce - Gravy, Au Jus, Mix",609,548
282,3068,2024-06-03,Cheese - Cheddarsliced,945,608
283,2291,2024-06-12,Muffin - Banana Nut Individual,137,764
284,7474,2023-12-10,Calvados - Boulard,215,725
285,1519,2024-06-17,Lamb - Bones,778,765
286,1701,2023-10-14,Rum - Mount Gay Eclipes,222,951
287,5739,2023-11-28,Smoked Tongue,722,263
288,6417,2024-04-12,"Veal - Brisket, Provimi,bnls",898,142
289,2741,2023-07-28,Bagel - 12 Grain Preslice,729,873
290,3021,2023-09-05,"Beef - Rib Roast, Cap On",158,438
291,1028,2024-02-21,Vaccum Bag - 14x20,808,849
292,7971,2023-11-15,Pork - Smoked Kassler,546,748
293,1292,2023-07-01,Bread - Assorted Rolls,70,882
294,8127,2023-10-26,Figs,38,599
295,7916,2024-05-24,Table Cloth 53x53 White,648,68
296,5423,2024-01-09,"Pasta - Lasagne, Fresh",494,418
297,9838,2023-07-18,Bread - Pain Au Liat X12,803,121
298,8437,2024-06-12,Calvados - Boulard,482,732
299,6857,2023-10-19,Transfer Sheets,84,852
300,7590,2024-02-04,"Club Soda - Schweppes, 355 Ml",208,640
301,4514,2024-01-31,Beef - Cow Feet Split,311,557
302,7287,2023-09-14,Hagen Daza - Dk Choocolate,528,54
303,5974,2023-07-23,Flower - Commercial Bronze,201,109
304,3247,2023-08-30,Soup - Campbells - Chicken Noodle,440,185
305,5987,2024-04-25,Sobe - Lizard Fuel,165,546
306,3102,2023-11-11,Wine - Chianti Classica Docg,707,921
307,3491,2023-12-24,Lettuce - Lolla Rosa,406,659
308,9249,2024-03-11,Cheese - La Sauvagine,459,30
309,4071,2023-12-02,Sour Puss Raspberry,669,134
310,4993,2023-09-06,"Pasta - Penne, Lisce, Dry",744,789
311,7429,2023-07-05,Nut - Pumpkin Seeds,376,801
312,3824,2023-12-04,Bacardi Limon,230,831
313,1437,2023-12-08,Versatainer Nc - 9388,921,764
314,9183,2023-08-26,Shark - Loin,242,457
315,1326,2024-06-04,Wine - Chateau Bonnet,772,652
316,7982,2024-05-28,Ice Cream Bar - Hagen Daz,707,515
317,5739,2024-06-11,Island Oasis - Lemonade,357,127
318,4599,2023-10-26,Squid - U 5,942,922
319,5316,2023-10-05,Coffee Cup 16oz Foam,569,671
320,6683,2023-08-27,Honey - Comb,181,657
321,4241,2024-04-15,Pineapple - Regular,278,423
322,4087,2023-07-22,Turkey - Oven Roast Breast,45,174
323,6492,2024-06-13,"Chocolate - Milk, Callets",315,346
324,9058,2023-10-22,Vodka - Smirnoff,629,21
325,9463,2024-02-21,Cheese - Parmigiano Reggiano,45,759
326,2695,2024-04-27,Honey - Liquid,670,937
327,7239,2023-09-08,Turkey - Ground. Lean,678,453
328,1594,2024-03-24,Cake - Dulce De Leche,246,6
329,2965,2024-01-13,"Yogurt - Blueberry, 175 Gr",880,919
330,1188,2024-05-01,Blackberries,713,449
331,8614,2023-12-21,Caviar - Salmon,587,296
332,1695,2024-05-11,Pepper - Cubanelle,263,659
333,5966,2023-10-23,Beef - Ground Lean Fresh,36,939
334,5968,2024-02-17,Dasheen,203,579
335,1990,2024-05-07,Water - Perrier,869,325
336,1405,2024-06-12,Puree - Guava,641,247
337,6358,2023-06-27,Pop Shoppe Cream Soda,759,29
338,8602,2023-11-12,"Fish - Atlantic Salmon, Cold",290,788
339,2877,2024-02-01,Cheese - St. Andre,274,27
340,5968,2024-02-28,Caviar - Salmon,593,55
341,9502,2023-07-17,Wine - Pinot Noir Pond Haddock,151,748
342,7556,2024-02-12,"Lamb - Loin, Trimmed, Boneless",224,7
343,8013,2024-03-12,"Melon - Watermelon, Seedless",176,950
344,1769,2023-11-29,"Mushroom - Enoki, Dry",90,540
345,2676,2023-10-08,Sauce - Balsamic Viniagrette,866,315
346,6127,2023-06-28,Nori Sea Weed - Gold Label,393,54
347,9385,2023-07-21,Lemonade - Pineapple Passion,285,796
348,2502,2023-10-01,"Chicken - Thigh, Bone In",9,572
349,7030,2023-09-27,Graham Cracker Mix,175,558
350,1699,2024-02-28,Mousse - Mango,514,539
351,4657,2024-03-24,Fond - Neutral,808,459
352,2148,2023-11-28,Ham - Cooked Bayonne Tinned,86,170
353,7162,2023-08-11,Tea - English Breakfast,892,24
354,8142,2023-10-08,"Hickory Smoke, Liquid",528,106
355,2368,2023-07-03,Lotus Root,740,207
356,8253,2023-12-10,Coffee - Egg Nog Capuccino,612,34
357,7672,2023-12-17,Chocolate - Compound Coating,100,2
358,5594,2024-06-17,"Asparagus - White, Fresh",285,226
359,9057,2024-02-26,Eggplant - Asian,214,750
360,3174,2023-10-20,Cheese - Victor Et Berthold,882,327
361,1949,2023-10-25,Vinegar - Balsamic,184,793
362,3838,2024-02-10,Pineapple - Regular,654,957
363,8155,2024-02-08,Cake Slab,155,676
364,1511,2024-01-29,Pastry - Apple Muffins - Mini,343,360
365,3163,2023-09-08,"Pasta - Rotini, Dry",587,434
366,5932,2023-08-07,Chocolate - White,710,380
367,2934,2023-10-16,Veal - Liver,382,42
368,6009,2024-06-15,Bread Cranberry Foccacia,353,704
369,6907,2024-01-14,Anisette - Mcguiness,728,300
370,2675,2024-01-03,Puree - Guava,178,886
371,5757,2024-04-29,Cake - Cheese Cake 9 Inch,885,193
372,1076,2024-03-04,"Squash - Pattypan, Yellow",750,688
373,2677,2024-03-28,"Mushroom - Chantrelle, Fresh",704,770
374,3314,2024-06-02,Lettuce - Belgian Endive,537,851
375,4626,2024-06-06,Scrubbie - Scotchbrite Hand Pad,247,503
376,6740,2023-06-28,Cookie Double Choco,568,900
377,5556,2023-12-14,Lamb - Whole Head Off,50,107
378,1605,2023-07-11,Lid - 16 Oz And 32 Oz,149,938
379,7771,2023-10-20,"Plate - Foam, Bread And Butter",365,500
380,8818,2023-08-17,Tart - Lemon,538,99
381,6316,2023-07-31,Long Island Ice Tea,800,124
382,1103,2023-12-27,Chicken - Whole Fryers,46,341
383,8938,2024-01-08,Gingerale - Diet - Schweppes,703,160
384,1522,2023-10-17,"Loaf Pan - 2 Lb, Foil",397,691
385,3669,2023-09-03,Curry Paste - Green Masala,283,149
386,9315,2024-03-03,"Crab - Dungeness, Whole, live",910,465
387,3385,2024-01-10,Bread - Focaccia Quarter,616,151
388,5342,2024-03-27,Creme De Cacao White,745,781
389,1242,2023-07-23,Beef - Short Ribs,935,134
390,5501,2023-08-13,Lotus Root,963,709
391,6274,2024-02-11,Cherries - Frozen,884,246
392,9506,2023-07-30,"Orange - Canned, Mandarin",389,414
393,6556,2024-01-12,"Wine - White, Riesling, Semi - Dry",216,892
394,1437,2024-02-05,Beans - Soya Bean,406,509
395,5962,2024-03-11,Salmon - Sockeye Raw,199,163
396,8757,2024-06-12,Wine - Fat Bastard Merlot,246,699
397,7134,2023-11-25,Swiss Chard - Red,625,182
398,1047,2024-04-30,Swordfish Loin Portions,848,199
399,9000,2023-11-09,"Pasta - Penne, Rigate, Dry",738,60
400,6404,2024-04-25,Caviar - Salmon,407,151
401,8373,2023-12-06,Mousse - Passion Fruit,296,477
402,9363,2024-05-07,Burger Veggie,779,803
403,3603,2023-07-23,"Soup - Knorr, Classic Can. Chili",116,794
404,7949,2023-10-18,Coffee - Irish Cream,950,231
405,5827,2023-10-24,Cheese - St. Andre,737,720
406,9191,2023-07-17,Sauce - Demi Glace,494,862
407,5406,2024-01-21,Island Oasis - Banana Daiquiri,920,32
408,7960,2024-04-21,Squeeze Bottle,392,407
409,9576,2024-03-20,Rabbit - Saddles,608,666
410,5754,2024-03-24,"Pepper - White, Ground",320,51
411,5334,2024-02-09,Breakfast Quesadillas,658,12
412,7977,2023-11-13,Onions - Red Pearl,718,585
413,5284,2024-01-12,Eggwhite Frozen,559,472
414,5352,2023-08-15,Goulash Seasoning,673,328
415,3121,2024-03-30,Bulgar,573,23
416,5533,2023-08-16,Sun - Dried Tomatoes,498,679
417,8294,2024-02-23,"Fish - Scallops, Cold Smoked",830,75
418,3055,2023-09-12,Meldea Green Tea Liquor,965,541
419,7462,2023-08-30,Tarragon - Fresh,996,999
420,5495,2023-09-17,Wine - Fume Blanc Fetzer,792,949
421,2586,2023-12-20,Garam Marsala,133,434
422,6219,2024-02-12,Island Oasis - Strawberry,191,685
423,7697,2024-02-28,Shallots,883,872
424,3257,2023-10-27,Sea Bass - Whole,226,703
425,2059,2024-02-16,"Loaf Pan - 2 Lb, Foil",492,248
426,1169,2024-05-12,Containter - 3oz Microwave Rect.,479,93
427,2730,2023-07-29,Sloe Gin - Mcguinness,457,277
428,5717,2024-01-16,Wine - Shiraz South Eastern,356,898
429,4982,2023-12-11,Jerusalem Artichoke,348,215
430,6485,2023-09-24,Chervil - Fresh,432,765
431,1907,2023-12-04,"Red Snapper - Fresh, Whole",114,840
432,6384,2023-07-23,Vinegar - Champagne,373,500
433,3273,2024-06-20,Muffin - Mix - Mango Sour Cherry,535,94
434,3572,2024-01-08,Black Currants,183,470
435,3231,2024-01-30,Sauce - Hollandaise,744,319
436,5904,2024-01-05,Wine - Pinot Noir Latour,99,510
437,9505,2023-11-06,"Rum - Spiced, Captain Morgan",925,68
438,5322,2023-12-14,"Bread - Roll, Italian",925,643
439,2605,2024-04-16,"Trout - Rainbow, Fresh",332,684
440,6557,2024-03-17,Squid - Tubes / Tenticles 10/20,266,751
441,4963,2024-05-11,Broccoli - Fresh,887,735
442,7069,2024-04-19,Beef - Top Butt Aaa,187,915
443,8363,2024-06-11,"Chicken - Base, Ultimate",221,216
444,7656,2024-03-21,Pork - Smoked Kassler,761,953
445,3586,2023-08-24,Corn - Mini,777,278
446,9682,2023-12-28,"Chocolate - Pistoles, Lactee, Milk",344,111
447,7328,2024-02-28,Bread - Wheat Baguette,981,610
448,2755,2024-04-27,Island Oasis - Raspberry,323,568
449,5634,2023-12-08,"Rosemary - Primerba, Paste",922,298
450,7387,2024-03-05,Pork - Belly Fresh,538,944
451,3461,2024-03-10,Rice - Wild,214,315
452,2715,2023-08-15,Arizona - Plum Green Tea,674,816
453,8682,2024-04-08,"Pork - Bacon, Double Smoked",215,316
454,4086,2023-10-14,Peas - Frozen,824,297
455,4369,2023-09-24,Wine - Toasted Head,549,338
456,2011,2023-10-27,"Pasta - Elbows, Macaroni, Dry",636,264
457,8531,2024-04-26,Uniform Linen Charge,800,79
458,6765,2023-07-09,Sauce - Fish 25 Ozf Bottle,611,618
459,5698,2023-09-23,Potatoes - Yukon Gold 5 Oz,985,311
460,6547,2024-04-14,Steampan - Half Size Shallow,827,361
461,3389,2023-08-17,Puree - Raspberry,873,354
462,5170,2024-04-09,Laundry - Bag Cloth,696,236
463,4750,2023-08-09,Wine - Prosecco Valdobiaddene,45,811
464,6956,2024-04-24,Venison - Striploin,156,45
465,5779,2024-04-24,Lettuce - Frisee,385,570
466,5201,2023-10-26,Potatoes - Idaho 80 Count,328,752
467,1976,2024-03-29,"Chicken - Diced, Cooked",152,519
468,4390,2023-07-21,"Roe - Lump Fish, Red",219,965
469,8045,2024-02-06,"Jam - Blackberry, 20 Ml Jar",167,339
470,3184,2024-02-25,Cheese - Taleggio D.o.p.,15,542
471,1395,2024-03-11,"Zucchini - Mini, Green",85,265
472,2205,2023-12-23,Lettuce - Frisee,458,351
473,1440,2023-12-27,Pepper - Pablano,61,507
474,7449,2024-01-15,Bagel - 12 Grain Preslice,833,310
475,7494,2023-08-07,"Wine - Cahors Ac 2000, Clos",552,72
476,9043,2023-08-12,Corn Meal,596,341
