LOAN_ID,TOTAL_AMOUNT,INTREST,AMOUNT_LEFT,OFFERED_BY,OFFERED_TO
133,73973,11.26,73671,B9K,246
134,97413,7.84,97044,B1T,498
135,25614,8.64,25371,BBV,864
136,33533,19.18,33402,BDT,472
137,73998,14.16,73473,BTs,454
138,47517,14.51,46518,Bqr,804
139,58942,17.01,58497,B90,317
140,29559,10.22,29066,BDT,581
141,46882,8.89,46665,BZX,471
142,85363,7.01,84462,BTU,120
143,97622,16.57,97460,B7q,249
144,2216,17.05,1662,BEk,310
145,57550,19.2,56884,Bwd,809
146,97571,8.19,96985,BZX,501
147,84134,16.37,83656,BEa,997
148,69469,15.2,68951,BH4,884
149,89038,19.36,88215,BTs,207
150,32666,7.07,32160,B29,226
151,17589,13.83,17283,BRu,531
152,89810,15.33,89725,BZX,704
153,49294,17.97,48829,B14,840
154,31854,13.71,31769,BRU,942
155,57152,9.74,57112,BOe,715
156,41108,16.34,40358,B02,323
157,6956,18.67,6050,B88,275
158,46333,16.04,46277,ByX,174
159,22311,19.69,21453,BEk,239
160,4785,12.37,4127,BZX,183
161,2133,14.24,1857,BPs,880
162,29282,18.01,28556,B9I,6
163,9216,7.54,8259,ByX,640
164,51431,7.72,50960,BNI,753
165,9731,15.66,9100,Bvj,171
166,87354,16.17,87283,BFw,684
167,25632,14.42,25047,Bwa,212
168,18861,10.87,18255,BmC,327
169,4862,16.43,4298,BhP,506
170,6364,18.71,6261,B6c,953
171,24611,10.9,24258,Bgt,687
172,89162,7.96,88770,Br2,489
173,38765,14.49,37848,Bwa,586
174,74996,15.57,74222,Bzx,482
175,20341,14.74,19958,BFw,643
176,97729,8.9,97254,Bzi,902
177,84601,17.06,84008,BDT,580
178,49051,9.67,48298,BzG,763
179,54292,18.24,54190,BXD,988
180,92043,14.26,91334,Bzx,199
181,24140,17.18,23293,Byz,147
182,41160,7.02,40221,BhP,884
183,69295,12.8,68552,Bv2,597
184,61998,19.41,61168,Byz,466
185,63767,9.38,63729,BoK,622
186,99786,17.35,99592,BTV,444
187,73137,16.22,72558,B3c,343
188,58832,15.12,58142,B9K,41
189,39886,7.81,39133,Bzx,920
190,55680,19.11,55071,BhP,344
191,3579,13.64,3383,B88,746
192,47509,17.58,47142,Byz,144
193,7729,15.16,7115,B9I,707
194,48943,14.36,48658,BSE,398
195,98114,10.76,97750,BPx,152
196,6797,13.95,6708,BeQ,488
197,78613,17.99,78211,B3g,76
198,98098,12.17,97966,BEk,505
199,85956,8.25,85474,BiA,553
200,89246,15.32,88726,BqY,932
201,61889,19.96,61785,B02,180
202,61634,12.52,60810,B3g,432
203,42921,16.86,42287,BRu,823
204,81452,12.64,80473,BLe,648
205,22470,11.07,22045,BN4,969
206,78769,18.11,77968,BNI,361
207,33893,19.41,33868,Bao,580
208,12203,15.85,11924,BN4,915
209,11900,18.68,11008,B9K,236
210,76130,9.1,75135,B9K,386
211,86551,15.57,86129,B1T,585
212,80087,11.21,79973,B29,976
213,55608,7.45,55267,Bzx,945
214,97299,16.33,97194,Bfk,273
215,30559,17.33,30362,BYF,21
216,27533,11.94,27214,Bzx,749
217,62625,17.95,61717,BrC,431
218,83090,15.73,82381,BnL,562
219,57267,12.58,56369,BEk,377
220,84692,19.34,83920,Bqv,973
221,83782,11.53,83074,BiA,244
222,50986,9.13,50956,BoK,437
223,77384,14.04,76976,BYY,404
224,11602,10.29,11429,BmC,353
225,46182,19.49,45375,BaO,281
226,44234,10.73,43646,BqY,185
227,91322,15.77,90973,BeG,707
228,58742,7.65,58570,BQd,742
229,42453,12.7,41822,B1i,233
230,50365,9.73,49671,B02,555
231,23388,15.3,22660,BdV,362
232,39549,13.95,38940,B2U,643
233,8100,16.92,7769,Bwd,929
234,25027,7.58,24770,B9I,155
235,25814,7.04,25477,BqY,244
236,93217,15.98,93142,Bm9,135
237,60511,10.31,60237,BEk,967
238,23687,18.97,23102,BBV,801
239,71554,19.0,71051,BZd,684
240,64081,10.04,63936,Bvj,346
241,81044,18.3,80949,BLS,126
242,69003,7.03,68633,B3c,506
243,51219,18.64,50613,BTO,370
244,1578,18.6,1089,Bsw,688
245,39329,15.53,39167,BqY,79
246,4423,12.59,4021,BmC,770
247,72368,15.87,72098,Bwa,399
248,94186,13.71,94156,BdV,998
249,62400,7.27,61967,B3c,539
250,13039,9.18,13039,Bvj,946
251,87012,7.95,86872,B1T,584
252,82577,17.85,82372,BQf,397
253,96426,9.27,96057,BW8,296
254,10654,11.39,10238,BNI,782
255,49803,16.36,49438,B1i,703
256,85626,13.85,84662,BmU,447
257,20404,13.67,19719,B2U,452
258,18329,14.01,18055,ByX,967
259,50488,15.23,49904,BmN,912
260,46163,16.3,45458,Ba6,881
261,14604,16.55,13619,BGD,659
262,27811,10.64,27067,BGY,31
263,87325,16.46,87122,Bon,736
264,88566,9.38,88402,BLF,380
265,21205,13.38,20258,BmC,184
266,33291,8.34,32524,Bon,544
267,25962,13.89,25819,BTe,376
268,43369,11.49,43296,BZX,829
269,20763,13.77,20636,Bao,701
270,95553,14.84,95282,BeQ,621
271,96746,12.61,95754,BRu,879
272,16259,14.6,15557,Bon,39
273,66493,17.54,65672,BGD,853
274,47565,19.23,46812,BZd,380
275,62707,10.69,62407,BRU,857
276,21940,15.0,21005,BTt,326
277,30739,16.23,29844,BW8,551
278,54573,14.19,54075,Bzi,83
279,71044,19.87,70320,Bs4,248
280,88053,15.08,87619,Be6,413
281,15933,16.07,15839,BGD,658
282,62257,12.39,62164,B1T,55
283,76848,10.33,76323,B14,152
284,47674,17.02,46910,Bsw,46
285,96072,14.93,95863,BPx,340
286,47580,13.38,47509,BNI,568
287,47911,19.45,47232,BTt,356
288,16110,9.95,15328,BEk,137
289,8505,17.55,8333,BTV,15
290,80474,15.02,80367,BSE,741
291,15678,11.5,15263,BTt,863
292,62494,13.98,61782,BW8,962
293,18042,14.12,17852,BPs,437
294,20214,18.91,20156,BrC,237
295,1689,13.89,1155,BQd,279
296,5652,12.26,4976,Bao,300
297,17697,16.7,17584,Bv2,825
298,20958,18.84,20563,B0T,885
299,67323,16.62,66454,BiA,492
300,64006,12.42,63255,BoK,805
301,67755,13.04,66837,BXD,983
302,31840,9.51,31189,BFx,637
303,40420,10.61,40242,B3c,253
304,83490,11.66,83038,BnL,266
305,84578,16.28,83894,BwA,360
306,29196,15.88,28616,BMl,404
307,59611,9.12,58710,Bvf,563
308,22394,8.68,22041,BhO,798
309,45765,13.55,45483,B29,949
310,31185,10.42,30750,BTt,509
311,77181,17.38,76930,BZd,57
312,88123,10.04,87436,BqY,108
313,95810,9.15,95755,Bvj,318
314,13736,13.72,12941,Bwa,159
315,52356,11.53,51900,BLe,86
316,69197,7.87,68619,BSE,149
317,85477,15.92,85277,BEa,764
318,10778,17.67,10106,BSE,580
319,36856,12.75,35921,BxE,272
320,97753,7.26,97557,B6c,348
321,49063,18.53,48577,B29,408
322,34825,15.3,33927,Bbl,463
323,58855,11.79,58338,BaO,810
324,52304,15.77,51472,Bv5,661
325,99308,10.14,98611,Ba6,378
326,2728,14.55,2459,BTV,699
327,4433,9.65,3851,BeQ,856
328,62623,18.45,61944,ByX,94
329,44969,7.35,44330,Bwa,319
330,62138,18.97,61279,BTe,470
331,42596,10.19,42028,Bsw,323
332,29298,8.31,29219,BeQ,237
333,22094,11.61,21403,BH4,805
334,34310,15.04,33691,B1i,573
335,94725,16.97,94641,BBr,702
336,29090,10.29,28260,B1i,822
337,43554,19.39,43536,BNI,648
338,65302,15.98,64397,BBr,685
339,33992,16.73,33809,BTt,614
340,1892,9.67,992,BeQ,839
341,14128,15.63,13154,BZd,767
342,24310,19.92,23584,Bzx,407
343,5952,17.01,5718,BxL,870
344,66952,8.87,66575,BTO,298
345,40990,14.51,40818,B3c,532
346,7252,15.55,6752,Bfk,727
347,91761,17.98,91096,ByX,85
348,74010,7.48,73066,BTe,732
349,51731,19.53,51664,BDW,439
350,16882,10.02,16254,BrC,746
351,48042,7.41,47487,BeG,162
352,61399,9.71,60818,Be6,329
353,62685,9.04,62078,BnL,675
354,23218,15.69,22553,Bzi,177
355,37022,18.79,37008,Byz,624
356,31413,18.03,31327,BdV,736
357,60310,11.33,60097,BeQ,401
358,1556,7.08,613,BxL,763
359,71767,14.11,71672,Bvj,265
360,26747,8.45,26533,Ba6,252
361,35218,19.74,34921,Bwa,415
362,54167,16.58,53965,BhP,5
363,69612,17.27,69591,BDT,432
364,21440,19.87,20750,BeG,884
365,81330,13.08,80873,Bzx,732
366,85455,11.15,84791,BmN,778
367,35600,18.04,34910,B7q,598
368,95132,8.77,94190,Bon,550
369,42090,10.69,41909,BeQ,288
370,92669,12.06,91904,Byz,239
371,69951,8.24,69793,ByX,184
372,44950,17.23,44851,B90,406
373,65794,13.64,64850,B29,859
374,19917,9.35,19554,B9K,784
375,78289,10.29,77471,B2U,12
376,7627,11.34,7267,B9I,142
377,61816,10.67,61048,Br2,543
378,93456,17.4,92679,BaO,737
379,68513,17.87,67529,B14,831
380,53820,14.27,53557,B90,239
381,60862,13.54,60151,BEk,86
382,4435,9.58,3642,BBV,43
383,11865,12.7,11685,Be6,604
384,7306,15.57,6892,BxL,181
385,86893,11.13,86658,BEa,568
386,16820,10.31,16401,BXJ,378
387,35428,17.86,34644,Bao,825
388,77637,7.93,76813,BDT,381
389,98463,10.88,97687,BTO,529
390,66300,10.77,65723,BYF,858
391,37519,17.86,36892,BeQ,29
392,91614,17.74,91510,Bzx,418
393,93962,7.9,93168,BEk,907
394,38920,9.6,38104,B7q,969
395,72604,14.19,71874,BTs,277
396,62404,12.0,62138,BEa,589
397,33010,11.72,32859,BN4,861
398,72491,10.04,71871,Bqv,794
399,60806,12.93,60800,B9K,749
400,8655,13.01,8566,BW8,245
401,26380,13.23,25461,Ba6,910
402,12007,10.6,11853,Bfk,306
403,22133,17.09,21170,BGY,617
404,6935,16.94,6919,BH4,543
405,19436,19.71,18543,Bv5,91
406,58023,7.38,57930,BZ0,261
407,61330,17.52,60761,BBV,928
408,42618,18.18,41905,BQd,658
409,63690,12.75,63604,Br2,159
410,96604,17.56,96559,B02,45
411,45620,12.74,45364,B6c,592
412,77993,16.91,77947,B88,643
413,21882,7.05,21400,BPx,521
414,30758,15.39,29853,BN4,76
415,97169,13.88,96855,Bgt,787
416,34545,7.66,34277,Byz,820
417,49666,13.07,48829,BNI,539
418,77788,13.77,77273,Bv2,444
419,21780,19.7,21019,BTe,273
420,27486,11.88,27243,BLe,135
421,46099,17.02,45452,BeQ,174
422,94439,13.55,94131,BFx,346
423,63230,14.31,62639,BGD,465
424,8108,9.78,7992,BPs,364
425,76522,10.64,76180,B1i,70
426,76021,14.56,75950,BPs,739
427,43097,13.76,42887,BTt,139
428,67102,12.97,66200,Bfk,693
429,63392,19.35,62763,BmN,864
430,99634,17.36,99019,B2Q,557
431,83378,14.26,82417,BTe,565
432,3408,7.11,3020,BPs,621
433,26561,16.5,25869,B1i,596
434,49364,8.14,48581,BPs,619
435,99066,13.49,98323,BBr,449
436,70087,15.34,69905,BN4,19
437,11645,8.89,11074,B3g,87
438,45874,13.69,45095,BYF,202
439,45513,12.1,44785,BEk,948
440,34989,8.27,34419,BvO,723
441,50466,15.7,50054,BTt,666
442,43198,12.31,42678,Bao,370
443,11845,7.58,11551,BaO,369
444,31935,9.98,31802,BBV,725
445,86893,7.52,86013,B7q,391
446,30244,15.07,29968,BLe,599
447,24048,12.6,23553,BBr,181
448,60276,10.04,59455,Bon,51
449,57242,14.06,57198,ByX,183
450,8093,12.65,7857,B29,275
451,94935,11.17,94647,BDW,249
452,12486,11.32,11737,B14,495
453,33176,19.8,32582,BrC,374
454,84183,11.75,83822,BEa,448
455,51681,8.98,50783,BYF,844
456,96719,15.17,95824,BxE,798
457,2110,9.3,1274,BXD,294
458,78307,16.76,77389,BQf,706
459,39997,9.11,39014,ByX,603
460,84185,8.5,83530,BPx,901
461,4433,8.82,3686,Bzi,132
462,18692,15.75,17780,BrC,36
463,93210,13.58,92583,Bqr,820
464,77609,8.24,77396,Bwa,753
465,65018,14.59,64043,BmN,724
466,37924,19.94,37691,BnL,137
467,47539,10.44,47074,Bbl,556
468,82042,15.29,81649,BoK,975
469,5196,18.6,4551,B3M,691
470,41808,12.14,41483,Br2,748
471,65343,11.45,64530,B3c,40
472,77233,8.39,76770,B3c,116
473,92613,15.94,91886,Bwd,776
474,16578,17.07,15967,B6c,663
475,8820,13.31,7902,BYi,221
476,67193,9.51,66635,BGY,467
477,1493,12.9,644,BXD,409
478,29339,13.69,28904,Bwa,503
479,46640,9.32,46090,Bon,731
480,34123,8.29,34005,BQf,446
481,6637,19.01,6403,B6c,692
482,55009,12.22,54690,BzG,717
483,18333,14.96,17394,BH4,584
484,32951,8.92,32068,Bm9,157
485,35453,19.43,34904,BoK,532
486,12867,13.62,12790,BEa,482
487,89337,19.91,89293,BQf,536
488,30485,17.47,29946,Bbl,687
489,21158,9.64,20708,Bfk,778
490,88610,11.14,87762,Bm9,662
491,87708,14.99,87529,BBr,58
492,47622,18.3,46804,BGY,855
493,32651,17.14,31673,BPs,563
494,69439,18.31,68686,B6Z,55
495,36201,13.27,35633,BTe,917
496,84018,16.55,83540,BZ0,191
497,95961,18.72,95367,Ba6,954
498,52380,19.42,52089,BmC,610
499,32543,17.11,32382,Bon,992
500,27673,18.2,26826,BZd,329
501,46490,12.65,46386,BNI,982
502,70956,8.33,69986,BNI,223
503,34979,17.56,34189,B2Q,646
504,98982,10.75,98681,BhP,191
505,66522,7.56,66204,BeQ,871
506,14854,19.15,14145,B2U,584
507,25366,12.26,25057,Bao,678
508,32336,16.16,32127,Bao,976
509,85876,18.68,84951,BNI,327
510,96359,16.9,95972,B2Q,647
511,51962,18.28,51200,BBV,238
512,33582,9.19,33569,BFw,67
513,77174,17.31,77146,BLS,680
514,14017,10.04,13030,BGD,159
515,61526,19.5,60938,BmN,659
516,99265,19.52,98833,BYi,150
517,39574,13.72,38588,B2U,844
518,25459,8.67,24614,B1T,25
519,88269,7.02,88119,BeQ,609
520,61335,12.61,61057,B0T,797
521,1703,12.59,857,Bbl,476
522,39871,8.79,39441,BZd,851
523,50315,19.11,49978,B6Z,430
524,39230,7.48,38942,BN4,207
525,85696,15.72,85413,Bfk,472
526,55220,12.24,54743,Ba6,107
527,53646,10.24,53019,BN4,80
528,24534,13.36,24125,Bbl,85
529,63334,13.51,62863,B1i,935
530,8954,13.42,8198,BMl,535
531,21929,11.02,21662,B14,842
532,2971,8.03,2963,BRU,1000
533,68070,18.51,67481,BH4,673
534,82693,16.3,82139,BDW,435
535,12444,18.2,11745,B90,410
536,70420,11.08,69847,BQd,4
537,94094,12.38,93275,B6Z,661
538,57543,9.24,57422,Bv2,777
539,42974,8.17,42003,BLF,508
540,15695,14.92,15340,BLe,241
541,47894,19.62,47728,Bm9,600
542,79069,12.25,79028,BiA,847
543,29258,17.95,29179,Bwa,627
544,61107,8.25,60308,BTV,771
545,89286,18.74,88711,B9K,749
546,56622,9.91,56248,BTV,825
547,41653,19.18,40880,BTV,209
548,54691,18.95,54553,BvO,109
549,36653,9.67,35825,BwA,883
550,63560,17.15,63256,BTO,405
551,20363,11.76,19621,BvO,813
552,13340,8.97,13050,B3c,49
553,92243,17.49,91818,BeQ,595
554,33146,17.74,33087,Bgt,268
555,62399,17.34,61723,BXJ,101
556,71811,15.71,70855,Bs4,780
557,57177,14.77,56971,B3c,503
558,91466,7.75,91001,Bbl,349
559,95744,19.94,95073,B29,112
560,25326,17.04,24813,B2Q,796
561,64326,10.34,63913,Bqr,350
562,90520,17.53,90433,Bzx,246
563,78658,9.81,78213,BLF,214
564,72794,17.58,72684,BQd,183
565,35738,8.86,35538,B9I,557
566,52617,17.25,51730,BXJ,297
567,33632,14.25,33143,BEk,167
568,65679,16.26,65591,BZd,273
569,14086,15.86,13917,BTO,31
570,33034,16.61,32274,BLS,257
571,88008,11.21,87132,BN4,168
572,26491,7.06,26335,BYY,231
573,22473,19.58,21801,BdV,368
574,8502,19.54,8218,B3g,263
575,10140,12.47,9645,ByX,274
576,58348,8.13,57478,Ba6,928
577,64578,14.91,63882,BSE,698
578,39896,15.2,39047,Bzx,908
579,46122,10.55,45958,BzG,185
580,20640,11.45,19718,BLF,460
581,78355,18.17,77720,BGD,894
582,2337,17.93,1644,BTO,673
583,33173,16.69,32751,BPx,716
584,37182,9.4,36818,BZd,727
585,98761,19.0,98743,BGY,444
586,99959,9.95,98971,Bm9,749
587,31857,13.93,31344,BFw,182
588,40988,16.73,40490,BmC,702
589,38005,10.53,37615,BvO,726
590,26299,7.22,25601,BDT,174
591,96059,10.51,95161,Be6,38
592,88181,17.39,87532,BwA,686
593,3234,7.7,2660,Be6,823
594,20793,11.79,20278,BTO,566
595,63620,13.72,63292,Bzi,920
596,46370,13.08,45832,BLe,428
597,1586,15.57,937,B3g,897
598,94570,19.02,93949,BGD,386
599,1180,18.48,810,BYF,985
600,69180,13.51,68835,Bao,687
601,96122,14.47,95760,B88,628
602,66314,15.48,65383,BqY,158
603,57969,7.01,57237,BQd,852
604,74313,12.41,73617,BNI,82
605,50315,7.36,49697,BeQ,303
606,9614,14.53,9487,BxL,784
607,21689,15.65,20786,Bzx,326
608,49386,13.49,48670,BBV,333
609,76884,16.39,76440,BxL,612
610,43702,19.28,43574,BRu,224
611,94583,12.38,93846,B1i,820
612,53375,9.64,53176,BRu,985
613,39465,8.36,38590,BhO,151
614,66050,12.02,65348,BRU,11
615,63730,15.89,63166,Bwd,1
616,2923,13.38,2622,B7q,233
617,43943,14.04,43457,BxE,911
618,7017,16.47,6329,B6c,73
619,30694,19.31,30634,BRU,775
620,39292,17.55,39230,B29,177
621,75599,7.23,75508,Bvj,644
622,96343,19.48,95554,BdV,293
623,35954,19.17,35101,BmU,746
624,57450,19.96,56697,BRu,67
625,24675,15.05,24112,BaO,644
626,24419,15.38,23696,Bqr,813
627,78999,14.7,78206,BrC,860
628,59691,16.66,59351,B14,666
629,88248,18.32,87625,BZX,730
630,64014,13.13,63715,BEk,357
631,60980,7.87,60535,BhO,662
632,46288,12.22,45534,BXJ,478
633,95434,16.8,94868,BxL,912
634,33783,7.6,32997,BvO,88
635,69588,14.25,69449,BQd,924
636,15292,18.08,15217,BxL,827
637,51687,7.68,51138,BBr,471
638,64982,10.96,64003,BmU,848
639,4381,19.5,3478,Bbl,94
640,85244,9.71,84585,BH4,11
641,48369,11.69,47688,BZ0,705
642,56098,16.15,56037,B0T,487
643,5311,8.91,4344,B3g,592
644,7040,14.95,6732,B7q,613
645,9293,12.42,9098,BXJ,350
646,80733,15.65,80565,BTU,143
647,12007,10.03,11535,BZX,566
648,70869,9.39,70566,B6c,510
649,52547,7.91,52131,B14,187
650,25250,10.16,24856,Bvf,485
651,28081,18.67,27222,BYi,348
652,74819,14.6,74692,BmU,246
653,35224,14.56,34750,BwA,802
654,8760,17.89,7804,BaO,933
655,83232,12.14,82878,BxL,548
656,91424,12.46,90771,BxL,903
657,81575,11.65,80636,BDW,670
658,90272,16.43,89825,BiA,50
659,6271,19.72,5663,BSE,780
660,61429,18.26,60892,BEa,765
661,9878,9.96,9727,BmC,195
662,64480,19.3,63545,B2U,204
663,58981,14.26,58437,B9I,631
664,69980,11.85,69954,BzG,976
665,35730,11.07,35119,B2Q,839
666,25998,16.15,25739,BhP,597
667,54926,19.67,54402,B2U,490
668,95468,18.24,95349,BTU,132
669,66376,13.3,66064,BYF,458
670,18881,12.59,18434,BTO,429
671,1527,17.41,1009,BTU,141
672,54984,11.58,54153,B6c,574
673,95843,7.55,95141,B6Z,198
674,63789,10.72,63338,Bzi,332
675,28913,16.91,28220,Bs4,84
676,34513,10.73,34039,Bzx,815
677,79237,18.08,78454,BXD,313
678,85898,17.4,85333,Bqv,841
679,12530,17.77,12391,BFx,319
680,23181,8.27,22349,B2Q,559
681,91320,10.23,90512,BH4,494
682,92335,19.66,91664,BRu,113
683,61219,12.13,60263,Bwd,495
684,28292,11.03,27519,BrC,599
685,28832,9.14,28114,B29,148
686,47261,16.49,46480,B7q,662
687,36995,8.31,36649,BeG,651
688,48471,8.79,47681,BhO,107
689,39011,19.91,38755,BGD,956
690,62441,14.64,61540,Bwa,126
691,89656,15.63,89265,BTU,203
692,53257,11.99,53221,BN4,700
693,66935,7.59,66805,BRU,995
694,80099,8.08,79112,BXD,490
695,15314,12.17,14738,BrC,962
696,77035,14.07,76858,BmC,298
697,21921,19.53,21612,B3c,674
698,9184,17.35,9115,BhP,366
699,11628,11.54,11424,BrC,521
700,42708,12.44,41989,BQf,340
701,90672,14.24,90530,B3g,680
702,73655,10.75,73120,Byz,92
703,40848,10.82,40681,BYF,986
704,15797,19.19,15395,BLS,209
705,92709,9.21,91927,B90,553
706,71659,14.51,71501,BPx,849
707,66990,17.74,66127,B3c,5
708,54836,15.26,54674,BoK,361
709,27480,10.82,27445,Be6,200
710,35954,7.85,35363,BhP,357
711,25597,9.58,25544,BDT,856
712,24352,19.86,24264,BZ0,142
713,83673,12.75,83318,Bs4,615
714,98151,17.95,97381,Bfk,930
715,69177,10.79,68674,BEk,232
716,4579,17.23,3916,BLF,202
717,92507,16.27,92504,B0T,615
718,66453,8.05,66145,BhO,221
719,18730,11.64,17975,B6c,858
720,71549,14.53,71114,Byz,196
721,37952,17.15,37412,BQd,170
722,1060,7.91,352,B1T,397
723,73357,7.11,73321,BnL,601
724,90149,15.18,89525,BRu,581
725,64072,19.57,63604,BZd,951
726,91317,10.08,91189,Bao,317
727,36847,14.62,36816,B6Z,686
728,11124,12.06,10553,B3M,243
729,51488,17.22,50789,BN4,215
730,34191,11.99,34088,B02,34
731,56821,9.69,56565,BGY,304
732,82338,19.19,81389,BFw,271
733,31146,18.16,30795,BDT,484
734,95651,9.5,94956,B9I,406
735,53725,16.76,52908,Bon,974
736,7546,16.79,7340,BQf,188
737,36599,13.81,36018,BaO,776
738,99063,17.86,98823,Byz,940
739,95082,9.15,95003,BzG,250
740,16986,18.15,16006,BmC,58
741,50082,18.42,49253,Ba6,84
742,37569,14.42,37142,B1T,473
743,50884,13.92,50741,B02,36
744,70220,17.39,69701,BBr,677
745,20554,14.11,20051,BMl,509
746,22990,18.68,22070,BZd,958
747,72851,11.33,72517,BN4,309
748,58310,7.05,57572,BhP,282
749,74373,14.14,74160,B88,128
750,7406,9.25,7252,Bbl,676
751,80490,14.49,79884,BW8,642
752,62610,16.18,62070,BFx,429
753,81208,9.34,80559,B1T,423
754,89228,19.8,88829,BRU,765
755,30450,17.28,30074,ByX,830
756,49567,16.88,48882,B1i,808
757,27428,17.58,27102,BmU,945
758,20928,14.77,20396,Bqv,57
759,80829,17.95,80286,BiA,91
760,87721,7.95,87191,B0T,680
761,53961,13.73,53427,Bvj,495
762,41670,15.44,41208,BZX,866
763,66281,9.92,66015,Be6,251
764,29870,15.37,29065,BYi,263
765,68575,7.65,67909,BxL,784
